conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,74135E+18;Sun Dec 31 09:47:47 +0000 2023;0;@tanyakanrl kl bapakku lebih ke pendidikan atau yg nyangkut barang buat kuliah psti lgsg dbeliin;1,7414E+18;;tanyakanrl;in;nakama🏴‍☠️;0;0;0;https://x.com/lvnoxx/status/1741395718127104405;1,21562E+18;lvnoxx
1,74139E+18;Sun Dec 31 09:26:06 +0000 2023;0;Gw bahkan kurang banget dapet kasih sayang dari bokap karena udah di tinggal dari kecil dan ketemu lagi pas udah SMP. Untung aja bokap ga ngelupain gw sebagai anak kandungnya dan bertanggung jawab buat ngebiayain pendidikan gw sampe lulus kuliah.;1,74139E+18;;Anisaaputri24;in;;0;1;0;https://x.com/Anisaaputri24/status/1741390259693424943;1,25675E+18;Anisaaputri24
1,74138E+18;Sun Dec 31 08:54:48 +0000 2023;0;Tak cuma uang pangkal cek rincian biaya kuliah anak yang perlu kamu perhitungkan! Pelajari juga tips siapkan dana pendidikan di sini! https://t.co/rlEb1uNneK;1,74138E+18;;;in;SBB;0;0;0;https://x.com/johncarmandolou/status/1741382383113576832;2369856479;johncarmandolou
1,7413E+18;Sun Dec 31 08:09:28 +0000 2023;40;@xolovephine @mikrokosmos66 Karna pendidikan pramugari dan kuliah umum beda kak meskipun dia lulus sekolah pramugari dan jadi pramugari dia tetep bisa kuloah di kampus umum setauku ..waktu itu tetanggaku dia gak kuliah umum gitu;1,74137E+18;;xolovephine;in;;0;0;1;https://x.com/kaizyblue/status/1741370975453860007;1,31262E+18;kaizyblue
1,74132E+18;Sun Dec 31 07:37:55 +0000 2023;1;@xbaebearx @convomf Sekarang ortu sudah mulai mengerti pendidikan bagi perempuan hingga kuliah namun banyak yang terhalang dengan kemampuan;1,74136E+18;;xbaebearx;in;;0;0;0;https://x.com/hanafikhalid833/status/1741363034587861233;2440128391;hanafikhalid833
1,74135E+18;Sun Dec 31 07:01:52 +0000 2023;0;Here's the detail. Beberapa hasil dibawah ini benar-benar menunjukkan bahwa kuliah dan pendidikan tinggi bisa merubah pola pikir seseorang menjadi lebih rasional dan lebih kreatif. https://t.co/vJ9VWdVJEB;1,74135E+18;https://pbs.twimg.com/media/GCqFt12aIAAAhWI.jpg;howlydays;in;Porthaven;0;1;0;https://x.com/howlydays/status/1741353966137647234;1605217501;howlydays
1,7413E+18;Sun Dec 31 06:51:50 +0000 2023;19;@mikrokosmos66 Ga ada hubungan nya deh masalah pribadi dia ama kuliah nya emang klo di selingkuh ga berhak dpt pendidikan ya? Serius nanya;1,74135E+18;;mikrokosmos66;in;;5;15;2;https://x.com/Ptrmasp/status/1741351441216979268;1,62187E+18;Ptrmasp
1,74132E+18;Sun Dec 31 05:47:25 +0000 2023;1;@convomf Makanya aku sendiri gak pernah mikir status pendidikan orang asal dianya bener aja cara pola pikirnya karena keinget temen dulu mau kuliah cuma gak ada dana giliran mau nyoba di luar provinsi buat dapet beasiswa gak dibolehin sama ortunya karena ;1,74134E+18;;convomf;in;;0;0;1;https://x.com/lespreolov/status/1741335229217001579;1,20269E+18;lespreolov
1,74133E+18;Sun Dec 31 05:37:22 +0000 2023;0;@sbyfess Apakabar aku yg kuliah cm nurut sm ortu hahaha Habis wisuda disuruh ambil magister iya nurut habis wisuda lagi malah nikah hahahaha Tapi kalau ada orang yg bilang haduh sekolah tinggi2 Ujung2nya jadi ibu rmh tangga aja aku marah ya Fyi pendidikan;1,74133E+18;;sbyfess;in;Sby;0;0;0;https://x.com/Ibellcangtip/status/1741332700475347292;1,60346E+18;Ibellcangtip
1,74132E+18;Sun Dec 31 04:46:06 +0000 2023;0;Tahun 2023 banyak tugas kuliah yg meresahkan Tapi untungnya IPK ku tidak begitu menyedihkan Tahun 2024 semoga semuanya membahagiakan Apalagi jika urusan pendidikan ku dilancarkan ‍‍ @TelkomIndonesia #ElevatingYourFuture @lemonadefe @muhamad_rizqi7 @ainunsarawt;1,74132E+18;;;in;u unfoll w unfoll ;0;0;0;https://x.com/fikriarya98/status/1741319796334162266;969749089;fikriarya98
